mol_i, mol_j, whole_dissimilarity
0, 71, 0.0031812538641547983
0, 72, 0.003180886150640605
0, 73, 0.0031768399998559627
0, 74, 0.0031652553741556844
0, 75, 0.003213591195650234
0, 76, 0.0035221423693819753
0, 77, 0.002807660519270838
0, 78, 0.0028257219996085103
0, 79, 0.002857496089005762
0, 80, 0.002892245608220989
0, 81, 0.002919493810652929
0, 82, 0.0029322524729894495
0, 83, 0.002938747466084246
0, 84, 0.0029562238540534747
0, 85, 0.002999126000003627
0, 86, 0.0030241574999034793
0, 87, 0.0031956360058511546
0, 88, 0.00349137145645384
0, 89, 0.00351970683680769
0, 90, 0.0035275554990472635
0, 91, 0.003560289378103376
0, 92, 0.0035834177205636975
0, 93, 0.003587324862475594
0, 94, 0.00358630587204245
0, 95, 0.0035799981261162017
0, 96, 0.003574974161362321
0, 97, 0.0036798637432557957
0, 98, 0.004122025632904092
0, 99, 0.0030001833037072156
0, 100, 0.0030205938699892076
0, 101, 0.0030552582475920076
0, 102, 0.0030919912736649957
0, 103, 0.0031163796124986654
0, 104, 0.0031256095039070564
0, 105, 0.003129639920083971
0, 106, 0.003133732045279336
0, 107, 0.003139633007247955
0, 108, 0.0031367071031741522
0, 109, 0.003928659005684065
1, 0, 7.158135825535705e-05
1, 1, 0.0
1, 2, 6.149617603601332e-05
1, 3, 9.037348798568434e-05
1, 4, 0.0001380603760785526
1, 5, 0.00022249467853185934
1, 6, 0.0002842538726873789
1, 7, 0.0003075203968346818
1, 8, 0.00031469962850494415
1, 9, 0.00036482580820884625
1, 10, 0.0010387794451305332
1, 11, 0.0015959802652991684
1, 12, 0.0016895513240942073
1, 13, 0.0017008578912043326
1, 14, 0.0017731853731349778
1, 15, 0.001803467156021088
1, 16, 0.001811072380041745
1, 17, 0.0018134539714230735
1, 18, 0.0018122005602307922
1, 19, 0.0018200805406243248
1, 20, 0.0018354273926128872
1, 21, 0.001857292893636342
1, 22, 0.0021117142703050984
1, 23, 0.0021911087220742864
1, 24, 0.00221906055451504
1, 25, 0.002231215091383687
1, 26, 0.0022833004568807436
1, 27, 0.002308275415172645
1, 28, 0.002323038774941999
1, 29, 0.0023573868675236254
1, 30, 0.0023683019672759986
1, 31, 0.0025057742507266223
1, 32, 0.002395733580281334
1, 33, 0.0014000174180157643
1, 34, 0.0013505429552974624
1, 35, 0.0014435097482189407
1, 36, 0.0014660058077020643
1, 37, 0.0015266358085826992
1, 38, 0.0015352672522093158
1, 39, 0.0015867883092692825
1, 40, 0.0016169987530625374
1, 41, 0.0016360792399182644
1, 42, 0.0017160027153948487
1, 43, 0.0018902512090908097
1, 44, 0.0026274215315668092
1, 45, 0.002649610078334197
1, 46, 0.002691910333939007
1, 47, 0.0027228300596294774
1, 48, 0.0027598426943413745
1, 49, 0.0027986875330181515
1, 50, 0.0028209883837460037
1, 51, 0.0028291276988817726
1, 52, 0.0028411541351468506
1, 53, 0.0028804430841981032
1, 54, 0.0030778968427132014
1, 55, 0.002880668639751671
1, 56, 0.002685151423710619
1, 57, 0.002579604515001166
1, 58, 0.0026567904065303294
1, 59, 0.0027045161088163905
1, 60, 0.0027098798824304327
1, 61, 0.002711910409315621
1, 62, 0.002744787638141677
1, 63, 0.002859263581711735
1, 64, 0.004119042219813185
1, 65, 0.0211891617283545
1, 66, 0.0031475393557272024
1, 67, 0.003179305383888442
1, 68, 0.003230805735762954
1, 69, 0.0032812125993638697
1, 70, 0.0033105017479428955
1, 71, 0.0033199574130378107
1, 72, 0.003322387236475266
1, 73, 0.003319930364879542
1, 74, 0.0033100279132423083
1, 75, 0.003358590275587936
1, 76, 0.003666564847597531
1, 77, 0.0028959654198325024
1, 78, 0.0029264899241434605
1, 79, 0.0029695525253354838
1, 80, 0.0030126685774324313
1, 81, 0.003046471583604604
1, 82, 0.0030633956060880374
1, 83, 0.0030725587010601574
1, 84, 0.003092423408573297
1, 85, 0.003135887734842746
1, 86, 0.003161370522711704
1, 87, 0.003334940100873429
1, 88, 0.003604922169880065
1, 89, 0.003666717031022615
1, 90, 0.0036671673361563517
1, 91, 0.0036917855763436425
1, 92, 0.00371814816368099
1, 93, 0.0037273893843789985
1, 94, 0.003729656779941304
1, 95, 0.00372515509899618
1, 96, 0.00372118649335218
1, 97, 0.003823705223966467
1, 98, 0.004268954027533578
1, 99, 0.0030949788854397475
1, 100, 0.003131004966958062
1, 101, 0.0031754387008344764
1, 102, 0.003216387321582581
1, 103, 0.0032470660185914824
1, 104, 0.0032609314719221905
1, 105, 0.0032681968019842023
1, 106, 0.0032747541009676695
1, 107, 0.003281606220721156
1, 108, 0.003278607610666562
1, 109, 0.004071029593600839
2, 0, 0.00011191207686389593
2, 1, 6.149617603601332e-05
