mol_i, mol_j, min_mean_dissimilarity
0, 73, 0.0024907240687778395
0, 74, 0.002587282670363305
0, 75, 0.0024287906789455123
0, 76, 0.002578089776492435
0, 77, 0.0014149901774369905
0, 78, 0.0015684254591622464
0, 79, 0.0018570793820367718
0, 80, 0.002191271096184939
0, 81, 0.002159664090116616
0, 82, 0.002162916896968265
0, 83, 0.002192835073955488
0, 84, 0.0022648955557450366
0, 85, 0.002495238351215464
0, 86, 0.0022686849167564234
0, 87, 0.00229470440652958
0, 88, 0.0016885332790568435
0, 89, 0.002023457586206077
0, 90, 0.0021000820882497665
0, 91, 0.0024229116308045495
0, 92, 0.002417711727263337
0, 93, 0.002436534892117586
0, 94, 0.00247209643984637
0, 95, 0.0025286302474605963
0, 96, 0.0026374069245171184
0, 97, 0.002405162396531119
0, 98, 0.0025093392597022816
0, 99, 0.0012979734370469494
0, 100, 0.001441950691733715
0, 101, 0.0017320948276785583
0, 102, 0.002037390090930633
0, 103, 0.002112863065694658
0, 104, 0.0021176547478078188
0, 105, 0.002166465583362568
0, 106, 0.002250327489436576
0, 107, 0.0024121349696732074
0, 108, 0.0025682440445889032
0, 109, 0.0024936775821245687
1, 0, 6.265246958490728e-05
1, 1, 4.182006012040948e-17
1, 2, 0.00033951841691492416
1, 3, 0.0005081278601299173
1, 4, 0.0006292760542221084
1, 5, 0.0008421802700681056
1, 6, 0.0012472948218197832
1, 7, 0.0015167273643894015
1, 8, 0.0014507221170738218
1, 9, 0.001067973193359426
1, 10, 0.00166462518773208
1, 11, 0.00017093156415398932
1, 12, 0.00045390454864101915
1, 13, 0.0005974041974626127
1, 14, 0.001291589097341374
1, 15, 0.0022994673182476356
1, 16, 0.002633172552722686
1, 17, 0.0026463507068705014
1, 18, 0.0023465224220287993
1, 19, 0.001873456563023205
1, 20, 0.0013663485607564923
1, 21, 0.0011333401159441666
1, 22, 0.0008714520910495737
1, 23, 0.0010341398066982274
1, 24, 0.0013886510642487984
1, 25, 0.001469280491688032
1, 26, 0.0017985542858451606
1, 27, 0.0020693460330926373
1, 28, 0.002062527066974359
1, 29, 0.0017127793040206721
1, 30, 0.0017230256564921436
1, 31, 0.0019070946485511128
1, 32, 0.0016919265857472967
1, 33, 0.00017180695453137827
1, 34, 0.0001234158046597431
1, 35, 0.00058762248171493
1, 36, 0.0007186176844198914
1, 37, 0.0007103107213082112
1, 38, 0.0007736629945983549
1, 39, 0.0010780913945340727
1, 40, 0.0016632935968387281
1, 41, 0.0017474649846379513
1, 42, 0.0011632072500956212
1, 43, 0.0015246408921354877
1, 44, 0.001177742183557433
1, 45, 0.0012283103515534886
1, 46, 0.0015041873915449186
1, 47, 0.0017051016744444702
1, 48, 0.0019769340042799536
1, 49, 0.001967115801479163
1, 50, 0.0019745361885998335
1, 51, 0.0020013681317215346
1, 52, 0.0020053208186854104
1, 53, 0.0019390237465815724
1, 54, 0.0018547334028401904
1, 55, 0.0013907948042498662
1, 56, 0.0016536369317418928
1, 57, 0.00123643054890435
1, 58, 0.0017529578795887032
1, 59, 0.001972626955260533
1, 60, 0.0019659580665677676
1, 61, 0.001972788081461799
1, 62, 0.001991906138958251
1, 63, 0.0020236406707084893
1, 64, 0.002851859637856505
1, 65, 0.008954051046175507
1, 66, 0.0014893052027238145
1, 67, 0.001596061941715531
1, 68, 0.0019638142716713286
1, 69, 0.002222280580511245
1, 70, 0.002289810320139144
1, 71, 0.002318162935003893
1, 72, 0.002389303968358217
1, 73, 0.0024841317711727057
1, 74, 0.002588406504157404
1, 75, 0.0024255849361269695
1, 76, 0.002545256579219267
1, 77, 0.0014135699468221486
1, 78, 0.001530769745590156
1, 79, 0.001784372362174048
1, 80, 0.0020963575655077835
1, 81, 0.0021623352157442337
1, 82, 0.0021666901485032286
1, 83, 0.0021875798536151003
1, 84, 0.0022662389962783457
1, 85, 0.0025021547876134392
1, 86, 0.0022711489275083893
1, 87, 0.002274871972086189
1, 88, 0.001685772737399268
1, 89, 0.0020328457843716142
1, 90, 0.0020724989525189473
1, 91, 0.0023329008058009183
1, 92, 0.002410603971874758
1, 93, 0.0024310763653239906
1, 94, 0.0024694772373035183
1, 95, 0.002523299040927481
1, 96, 0.0026340146288123425
1, 97, 0.002397919539869538
1, 98, 0.002509706113288903
1, 99, 0.0013006330377968007
1, 100, 0.0014058726841743494
1, 101, 0.0016567590445902701
1, 102, 0.0019388503696275258
1, 103, 0.002109236126316506
1, 104, 0.002116041702967708
1, 105, 0.0021667368087674374
1, 106, 0.002245053857828775
1, 107, 0.002407484871025233
1, 108, 0.002560705562357577
1, 109, 0.002484150061671832
2, 0, 0.00044959342480175196
2, 1, 0.000331907717038033
2, 2, 4.281577583756209e-17
2, 3, 4.163394636606712e-05
2, 4, 0.00012783888263012837
2, 5, 0.00036281752039398954
2, 6, 0.0008185065167013912
2, 7, 0.0010598538434785114
2, 8, 0.0007778709011944898
2, 9, 0.0006953445713593847
2, 10, 0.0015097068541499226
2, 11, 0.00024290314200713285
2, 12, 0.00027195489935730573
2, 13, 0.00035851519583947696
2, 14, 0.0010405501699325406
2, 15, 0.0021895050968979484
2, 16, 0.002480496552216104
2, 17, 0.0024389638261698883
2, 18, 0.0019199599585236363
2, 19, 0.001358442744042547
2, 20, 0.0008609583707046721
2, 21, 0.000815399765641821
2, 22, 0.0011810377365116256
2, 23, 0.0011119565774589766
2, 24, 0.0009259901780117553
2, 25, 0.0009753100830825699
2, 26, 0.0013103448873936494
2, 27, 0.0016075547755570313
2, 28, 0.0013510185998558608
2, 29, 0.0012711201294373132
2, 30, 0.0013915912035041358
2, 31, 0.0017770937131328158
2, 32, 0.0014477517499915727
2, 33, 0.0005482406172818596
2, 34, 0.0004883376933316354
2, 35, 0.00016907512031771925
2, 36, 0.00022448164438554046
2, 37, 0.0002362705878490394
2, 38, 0.0002870930754269296
2, 39, 0.0005396931540022778
2, 40, 0.0011992300617872935
2, 41, 0.0011057860716860045
2, 42, 0.0008627191124059767
2, 43, 0.0010149412510953055
2, 44, 0.001778844354338254
2, 45, 0.0014166526723967193
2, 46, 0.001190667771403033
2, 47, 0.0011711646235957078
2, 48, 0.001197431286105541
2, 49, 0.001309442321099052
2, 50, 0.0014622726268047905
2, 51, 0.0015904512444722854
2, 52, 0.0017077945247139805
2, 53, 0.0018063352133433066
2, 54, 0.0017541113205734476
2, 55, 0.00183776105449642
2, 56, 0.0016531427923082362
