mol_i, mol_j, min_max_dissimilarity
2, 76, 0.18557645844528492
2, 77, 0.1338494806491637
2, 78, 0.07432210552792295
2, 79, 0.07408679061212908
2, 80, 0.07411099215571015
2, 81, 0.07447621499390544
2, 82, 0.07492692423573466
2, 83, 0.11091868484078926
2, 84, 0.17121599970399737
2, 85, 0.20810098518215125
2, 86, 0.2067651774692728
2, 87, 0.13388235855405806
2, 88, 0.1875193193930922
2, 89, 0.20564919511734236
2, 90, 0.08170986423349602
2, 91, 0.07995677003438029
2, 92, 0.08273857031268628
2, 93, 0.0841568732225707
2, 94, 0.0837086026983882
2, 95, 0.1137233081708483
2, 96, 0.1869887816455853
2, 97, 0.22610778997690684
2, 98, 0.10851372188220054
2, 99, 0.1817014218873838
2, 100, 0.10182611285381382
2, 101, 0.07481229189796357
2, 102, 0.07519741881537612
2, 103, 0.07622451916903261
2, 104, 0.07725827393496443
2, 105, 0.09424378635659658
2, 106, 0.15420140677965932
2, 107, 0.20440214985869465
2, 108, 0.2209461832396894
2, 109, 0.1716954952552171
3, 0, 0.20899658658009546
3, 1, 0.2344102157001704
3, 2, 0.008903929808466438
3, 3, 2.220446049250313e-16
3, 4, 0.034108966184061895
3, 5, 0.18935041800956676
3, 6, 0.49575749574294015
3, 7, 0.60343231698062
3, 8, 0.37922656560186574
3, 9, 0.17023272543679369
3, 10, 0.1256647512391652
3, 11, 0.09203457557472572
3, 12, 0.08472388326564828
3, 13, 0.13297717174591528
3, 14, 0.3887105101218765
3, 15, 0.7477359072855854
3, 16, 0.7996745620589492
3, 17, 0.7929987600003734
3, 18, 0.705958679128412
3, 19, 0.5602129580673078
3, 20, 0.20121670640514278
3, 21, 0.18146532603197474
3, 22, 0.23307940471944721
3, 23, 0.1731549218564945
3, 24, 0.07899130460417036
3, 25, 0.08630142963588983
3, 26, 0.31082341337460206
3, 27, 0.49553543590625326
3, 28, 0.2674830800545893
3, 29, 0.16403120827914364
3, 30, 0.16696751866271908
3, 31, 0.17271741378696048
3, 32, 0.16764877448561866
3, 33, 0.2108534737940323
3, 34, 0.21696495864453236
3, 35, 0.016965458240716602
3, 36, 0.04252926823284764
3, 37, 0.04813201259577693
3, 38, 0.07201722790526943
3, 39, 0.2570878360739822
3, 40, 0.7047097514713438
3, 41, 0.5151811549566941
3, 42, 0.16532975997662247
3, 43, 0.1788511177495573
3, 44, 0.23338394125470674
3, 45, 0.16028368571012108
3, 46, 0.07593916675627499
3, 47, 0.07608932844776095
3, 48, 0.07632415257861747
3, 49, 0.0764300097199968
3, 50, 0.07632796877209858
3, 51, 0.08962790728021752
3, 52, 0.1178271231706236
3, 53, 0.14108771274274456
3, 54, 0.1362606351476925
3, 55, 0.23615281842344082
3, 56, 0.21506321774156478
3, 57, 0.2122972588223634
3, 58, 0.06420351932655277
3, 59, 0.06429465032709436
3, 60, 0.06450582401105143
3, 61, 0.06464135288666062
3, 62, 0.06504472204977174
3, 63, 0.07990538108391465
3, 64, 0.13700013535438293
3, 65, 0.3326634712590979
3, 66, 0.222346749086763
3, 67, 0.18967994167830404
3, 68, 0.07160358475980644
3, 69, 0.07186092329936833
3, 70, 0.07283895858804312
3, 71, 0.07419936146912065
3, 72, 0.07457134048992875
3, 73, 0.09548635985543052
3, 74, 0.1423090910300635
3, 75, 0.16281277699536145
3, 76, 0.14290563667641343
3, 77, 0.2003292451342612
3, 78, 0.09864247699317186
3, 79, 0.07372019681201503
3, 80, 0.07371015318461926
3, 81, 0.07403553820561237
3, 82, 0.07444685138109441
3, 83, 0.07474850014050372
3, 84, 0.11495839850941714
3, 85, 0.15499615650973264
3, 86, 0.17072411180059832
3, 87, 0.1304249044151342
3, 88, 0.18804581766815953
3, 89, 0.2061911285823893
3, 90, 0.09815038075792903
3, 91, 0.07933650987919239
3, 92, 0.08206881196290228
3, 93, 0.08343417091947225
3, 94, 0.08296819755756124
3, 95, 0.08134125002657078
3, 96, 0.13072876661808974
3, 97, 0.16493400096585964
3, 98, 0.1046951549466002
3, 99, 0.2306912121937621
3, 100, 0.1634745946826518
3, 101, 0.07426788445941612
3, 102, 0.07462504444701967
3, 103, 0.07560137080362572
3, 104, 0.07658264811993232
3, 105, 0.07720943710393802
3, 106, 0.10006040060675991
3, 107, 0.14809090048841222
3, 108, 0.16992475557848585
3, 109, 0.1706171518412165
4, 0, 0.20898998499491772
4, 1, 0.2343962540933523
4, 2, 0.045114997202354346
4, 3, 0.034108966184061895
4, 4, 2.220446049250313e-16
4, 5, 0.08068760616395709
4, 6, 0.3714332186400616
4, 7, 0.6044324008449594
4, 8, 0.3618828385308085
4, 9, 0.13571674214233276
4, 10, 0.12513259866015358
4, 11, 0.1493604690229835
4, 12, 0.07612723023141332
4, 13, 0.07766192327547072
4, 14, 0.27266274993670514
4, 15, 0.6864754305376998
4, 16, 0.7979710612897362
4, 17, 0.7874244261965937
4, 18, 0.6962472927044323
4, 19, 0.5443038102280043
4, 20, 0.16880009053821132
4, 21, 0.14768890673277946
4, 22, 0.24142770446469697
4, 23, 0.21506528714961026
4, 24, 0.07851401311675543
4, 25, 0.07987766612764324
4, 26, 0.19597050320985
4, 27, 0.5051960141781082
4, 28, 0.24576085218513433
4, 29, 0.1295528217562626
4, 30, 0.13203575214597618
4, 31, 0.14649778239614064
4, 32, 0.132623372763097
4, 33, 0.21086413659446646
4, 34, 0.21697468989256874
4, 35, 0.0655467210869396
4, 36, 0.016912501249633283
4, 37, 0.03462545626143876
4, 38, 0.06091061799176034
4, 39, 0.1474162452207427
4, 40, 0.6582779078855421
4, 41, 0.5015828161429556
4, 42, 0.13085541917008292
4, 43, 0.14438944990733715
4, 44, 0.23358141391554776
4, 45, 0.20180467432007887
4, 46, 0.0759145694871125
4, 47, 0.07606521818255196
4, 48, 0.07630038502609504
4, 49, 0.07640671463966409
4, 50, 0.07630515421967565
4, 51, 0.07633356267700708
4, 52, 0.08646312798753664
4, 53, 0.10794297212562409
4, 54, 0.13438853876803547
4, 55, 0.2448494680742811
4, 56, 0.21523761208994174
4, 57, 0.2579334917878042
4, 58, 0.06423752364186142
4, 59, 0.06432937966330077
4, 60, 0.06453999026265322
4, 61, 0.06467502073808662
4, 62, 0.0650759551988318
4, 63, 0.06594107846316288
4, 64, 0.10417126252924991
4, 65, 0.30665626256404943
4, 66, 0.22252480555978515
4, 67, 0.23365037831489355
4, 68, 0.0716009334943466
4, 69, 0.07185761310071237
4, 70, 0.07245591534256501
4, 71, 0.07377182736432364
4, 72, 0.07412086519223182
4, 73, 0.07300547535838675
4, 74, 0.11094711766609999
4, 75, 0.1281656427684702
4, 76, 0.12726681802990214
4, 77, 0.24471320236810012
4, 78, 0.13355363374826545
4, 79, 0.07337928598166166
4, 80, 0.0733481100603034
4, 81, 0.07364525105749631
4, 82, 0.07402684905892998
4, 83, 0.07430653961755551
4, 84, 0.08484000517216272
4, 85, 0.12524493259470704
4, 86, 0.13602178987334324
4, 87, 0.12895690821600247
4, 88, 0.18818579265619173
4, 89, 0.20635086629393218
4, 90, 0.13302223316044137
4, 91, 0.07880390186629804
4, 92, 0.08149647235391866
4, 93, 0.08281910722657537
4, 94, 0.08234009374124529
4, 95, 0.08072740555422442
4, 96, 0.10010431196647618
4, 97, 0.1306263298967758
4, 98, 0.10346328930966697
4, 99, 0.2408792904388195
4, 100, 0.20578187555637173
4, 101, 0.0772573839792825
4, 102, 0.07412961128334838
4, 103, 0.07506798841860185
4, 104, 0.07600759787921818
4, 105, 0.07660685982663051
4, 106, 0.07636016204393647
4, 107, 0.1167346519544904
4, 108, 0.14130941534914632
4, 109, 0.17054583056621908
5, 0, 0.20887547937886342
5, 1, 0.23427127712510232
5, 2, 0.14542296049015946
5, 3, 0.1349735226303881
5, 4, 0.08068760616395709
5, 5, 2.220446049250313e-16
5, 6, 0.1549387869260862
5, 7, 0.5465213771281034
5, 8, 0.34744810618373734
5, 9, 0.11087342951766754
5, 10, 0.12546196971815626
5, 11, 0.1578507272937989
5, 12, 0.149419823331421
5, 13, 0.13046633348260916
5, 14, 0.1256497352232172
5, 15, 0.49515132660706673
5, 16, 0.7117920760351801
5, 17, 0.7791043946881955
5, 18, 0.686736912497248
5, 19, 0.5300317229755562
5, 20, 0.14431654938094385
5, 21, 0.12288311377376082
5, 22, 0.24129468889321593
5, 23, 0.24791471408223054
5, 24, 0.1306866815307045
5, 25, 0.0987308098281634
5, 26, 0.07973674193582425
5, 27, 0.3914066483345835
5, 28, 0.22834160882634413
5, 29, 0.10507364017435161
5, 30, 0.10762239323552891
5, 31, 0.12857635284411573
5, 32, 0.10830719839805814
5, 33, 0.21073847179594374
5, 34, 0.21685041120813686
5, 35, 0.1125253899147125
5, 36, 0.09965550002860668
5, 37, 0.12077402050489983
5, 38, 0.14268323682303508
5, 39, 0.06119990018642241
5, 40, 0.44888512845325046
5, 41, 0.48948207801692734
5, 42, 0.10633793518603796
5, 43, 0.12674299767638775
5, 44, 0.23367829462540657
5, 45, 0.2345217408764516
5, 46, 0.08255738232429322
5, 47, 0.0759834302632938
5, 48, 0.07621907211526158
5, 49, 0.07632626673310816
5, 50, 0.07622548687338115
5, 51, 0.07625394761014492
5, 52, 0.07648919378369379
5, 53, 0.08545499499909692
5, 54, 0.1288908714364344
5, 55, 0.2985652916591254
5, 56, 0.2153236664631496
5, 57, 0.27249585973328516
5, 58, 0.06417301493735983
5, 59, 0.0642660120834937
5, 60, 0.06447662647068231
5, 61, 0.06461135399294571
5, 62, 0.06501150002723088
5, 63, 0.06587480912924004
5, 64, 0.09261525571658602
5, 65, 0.2852036472383691
5, 66, 0.24230341321243443
5, 67, 0.26788340799379173
5, 68, 0.09267967505816121
5, 69, 0.07178280421291461
5, 70, 0.07218079311766934
5, 71, 0.07345999765768574
5, 72, 0.07378960664360712
5, 73, 0.07269523832840741
5, 74, 0.08844073238971961
5, 75, 0.1038245572369737
5, 76, 0.12725770752513843
5, 77, 0.2746382561564461
5, 78, 0.16206163904438042
5, 79, 0.07314028305773457
5, 80, 0.07312767198666503
5, 81, 0.07336633600464115
5, 82, 0.07372325753971387
5, 83, 0.07398456788296315
5, 84, 0.07395801727380269
5, 85, 0.10354820931482045
5, 86, 0.11182155618234257
5, 87, 0.12840506042001232
5, 88, 0.19820720527927616
5, 89, 0.20642547147388723
5, 90, 0.16147354692676286
5, 91, 0.07843093424332381
5, 92, 0.08109149862930654
5, 93, 0.08237818827688637
5, 94, 0.08188736866915713
5, 95, 0.08028588768788425
5, 96, 0.07844464102633919
5, 97, 0.10619768223423731
5, 98, 0.10364132986805741
5, 99, 0.2753135811283248
5, 100, 0.23907557063176743
5, 101, 0.10063189720579457
5, 102, 0.07378343143445298
5, 103, 0.07469104178691688
5, 104, 0.07559613214549354
5, 105, 0.07617239303610923
5, 106, 0.07592838758656217
5, 107, 0.09387970301125348
5, 108, 0.11971270974838932
5, 109, 0.1695672585137722
6, 0, 0.2087474586367999
6, 1, 0.23413802335891598
6, 2, 0.14544026076028693
6, 3, 0.13497941666367475
6, 4, 0.24569745115990838
6, 5, 0.1549387869260862
6, 6, 2.220446049250313e-16
6, 7, 0.20316455868290562
6, 8, 0.33534542168168857
6, 9, 0.09255677373748383
6, 10, 0.1263305141476554
6, 11, 0.15758135328008327
6, 12, 0.29560648760879027
6, 13, 0.27777812179379324
6, 14, 0.10604795513106913
6, 15, 0.1634238367802594
6, 16, 0.35145641349975354
6, 17, 0.446868734486504
6, 18, 0.4826493295993186
6, 19, 0.5174873756881782
6, 20, 0.12540986500297913
6, 21, 0.10418839009067704
6, 22, 0.24114680026374813
6, 23, 0.2799365199970575
6, 24, 0.2748458651799156
6, 25, 0.29502147339574303
6, 26, 0.07955422547380409
6, 27, 0.12897584461012446
6, 28, 0.21404623453698812
6, 29, 0.08733282994249181
6, 30, 0.09026014790750359
6, 31, 0.11723754683535348
6, 32, 0.09113714867573619
6, 33, 0.2105899037521295
6, 34, 0.21670354242501333
6, 35, 0.11253643220114251
6, 36, 0.22335002584500663
6, 37, 0.2420683617336552
