id energy_found_select energy_found_distort energy_found_both
143 -174025469.4146427 -174025472.71315244 -174025473.32538843
144 -174025461.73001626 -174025467.12007728 -174025467.33941427
145 -174025468.26674935 -174025470.71771878 -174025471.39607862
146 -174025488.0354632 -174025489.303535 -174025487.77215314
147 -174025468.38958785 -174025472.79601344 -174025472.11819786
148 -174025473.8364734 -174025475.9194456 -174025475.65051875
149 -174025467.04210314 -174025469.1485277 -174025470.71530977
150 -174025485.66517457 -174025486.0601648 -174025485.42003033
151 -174025461.31800023 -174025464.6036582 -174025467.1953402
152 -174025449.5787425 -174025459.36744872 -174025458.79357034
153 -174025474.671151 -174025478.2777452 -174025476.7505166
154 -174025476.58726263 -174025474.305826 -174025474.4006888
155 -174025467.59678817 -174025467.23864636 -174025468.03715765
156 -174025464.8551052 -174025466.22355682 -174025466.4464711
157 -174025469.81551692 -174025469.24458632 -174025469.78062034
158 -174025467.00086796 -174025468.54359686 -174025468.0241434
159 -174025460.2737747 -174025466.41499117 -174025466.12682518
160 -174025458.67144707 -174025463.71177146 -174025465.1222201
161 -174025467.73515782 -174025470.75232902 -174025470.8735286
162 -174025460.53433976 -174025464.54638213 -174025466.68933672
163 -174025473.85227 -174025474.90399727 -174025475.05651903
164 -174025466.0883154 -174025469.41289055 -174025469.49538282
165 -174025447.01512852 -174025456.5147221 -174025457.6447102
166 -174025466.34050295 -174025468.96653366 -174025468.8736724
167 -174025466.01331905 -174025468.80765602 -174025469.1763338
168 -174025476.53805348 -174025475.8523379 -174025475.87067628
169 -174025474.79377842 -174025475.36056077 -174025475.63630727
170 -174025478.24655417 -174025478.59176788 -174025479.2124857
171 -174025468.98512784 -174025471.48637125 -174025471.60192642
172 -174025465.6748972 -174025466.90052858 -174025467.72806644
173 -174025463.61952633 -174025468.1749502 -174025468.45823202
174 -174025467.0075364 -174025470.73087645 -174025471.03563428
175 -174025457.98136997 -174025461.45165718 -174025463.57408077
176 -174025448.33706534 -174025458.01691508 -174025458.28177747
177 -174025468.1938131 -174025471.04291102 -174025470.58250412
178 -174025473.42014802 -174025471.68882486 -174025471.8222696
179 -174025467.47692987 -174025470.6493486 -174025470.98137623
180 -174025466.22064242 -174025467.61843514 -174025469.0653165
181 -174025465.1973069 -174025469.4910189 -174025469.97452074
182 -174025474.10074413 -174025476.09944102 -174025474.7060721
183 -174025475.42548397 -174025476.7428903 -174025475.83983958
184 -174025464.66482455 -174025467.6627587 -174025468.65779868
185 -174025464.33654 -174025466.32654208 -174025467.14120162
186 -174025447.68704194 -174025457.4840608 -174025457.92100435
187 -174025460.79818776 -174025467.36645883 -174025468.08026144
188 -174025475.1666935 -174025475.77129912 -174025474.99217236
189 -174025464.63165173 -174025466.6676833 -174025467.39569712
190 -174025468.134208 -174025469.47076425 -174025470.3740787
191 -174025460.74908814 -174025467.20920324 -174025467.02601355
192 -174025458.54271555 -174025463.44308007 -174025464.6719352
193 -174025464.2463595 -174025468.0021146 -174025467.6826748
194 -174025470.53435272 -174025475.90992662 -174025474.67029262
195 -174025471.01602894 -174025472.14568928 -174025472.41424835
196 -174025459.49557835 -174025464.23515835 -174025465.60275248
197 -174025470.13354427 -174025473.57270905 -174025474.01282334
198 -174025469.12091646 -174025470.63606772 -174025471.65323678
199 -174025457.77325642 -174025464.0929732 -174025464.94938117
200 -174025477.50284782 -174025480.48826846 -174025479.06599998
201 -174025459.0407792 -174025464.01396048 -174025465.2961727
202 -174025460.06235102 -174025464.1886654 -174025465.13206008
203 -174025451.5219233 -174025459.04348877 -174025458.84007975
204 -174025408.23805586 -174025514.05337268 -174025458.44885558
205 -174025464.2985246 -174025469.55232155 -174025469.43532616
206 -174025460.24839452 -174025465.30112934 -174025466.04648685
207 -174025469.46962163 -174025471.89978564 -174025471.41524842
208 -174025466.0755508 -174025471.60098952 -174025470.91441604
209 -174025475.70293978 -174025477.21754286 -174025476.84649006
210 -174025457.80147225 -174025466.33955494 -174025466.31211597
211 -174025473.4506465 -174025475.50800022 -174025474.8460945
212 -174025466.66518602 -174025469.98292577 -174025470.2220229
213 -174025468.69353586 -174025471.3869222 -174025470.7759075
214 -174025466.1929718 -174025469.22796458 -174025469.74138305
215 -174025474.85477334 -174025477.3855088 -174025476.4020354
216 -174025467.87985656 -174025467.43593326 -174025468.73986036
217 -174025461.8898829 -174025465.78192693 -174025467.1675716
218 -174025463.2351316 -174025466.95874143 -174025467.8726892
219 -174025459.58853438 -174025464.38173246 -174025465.72067305
220 -174025467.4756887 -174025469.01458526 -174025471.19076353
221 -174025464.00319263 -174025470.48746583 -174025470.16884837
222 -174025460.48396596 -174025465.08295837 -174025466.18595177
223 -174025462.38457438 -174025467.64994565 -174025468.18683743
224 -174025467.70183465 -174025470.02601787 -174025470.09615284
225 -174025469.10354263 -174025471.0454739 -174025471.37411526
226 -174025471.22706616 -174025473.67260325 -174025473.26741415
227 -174025480.26361614 -174025481.14048302 -174025479.9063838
228 -174025461.43713972 -174025465.14807567 -174025464.94190955
229 -174025460.6003245 -174025463.31022522 -174025465.22403362
230 -174025461.25182816 -174025467.03383994 -174025467.59389156
231 -174025477.10465762 -174025480.54592574 -174025479.0866654
232 -174025460.72152647 -174025464.44135925 -174025465.43493605
233 -174025463.1554178 -174025466.3743102 -174025467.4701938
234 -174025458.7186151 -174025461.7191726 -174025463.56943795
235 -174025459.43494523 -174025464.78086534 -174025466.46479896
236 -174025454.47009778 -174025463.57410166 -174025464.29795521
237 -174025463.6883721 -174025466.72345206 -174025467.75647104
238 -174025459.51911345 -174025462.08751437 -174025463.94215736
239 -174025460.5225646 -174025463.6124157 -174025465.21924582
240 -174025466.48547164 -174025467.21707112 -174025467.92405197
241 -174025472.51800475 -174025472.57353258 -174025473.0547829
242 -174025444.8535529 -174025455.5489274 -174025459.27404213
243 -174025464.6143998 -174025470.56564507 -174025470.2442603
244 -174025466.98013297 -174025471.2904524 -174025470.91342175
245 -174025475.6809096 -174025475.305196 -174025474.97532052
246 -174025464.98138592 -174025468.18704912 -174025468.04036418
247 -174025479.40526944 -174025478.82468426 -174025477.85138637
248 -174025447.01095977 -174025457.67810664 -174025457.61479113
249 -174025472.21858376 -174025476.80472228 -174025475.7206728
250 -174025478.89046723 -174025478.80320612 -174025478.07647887
251 -174025448.22226408 -174025457.9799635 -174025458.09871244
252 -174025483.90792403 -174025487.1750064 -174025484.67223936
253 -174025464.83139572 -174025467.86294883 -174025468.7470187
254 -174025462.59785256 -174025463.3723209 -174025464.97308487
255 -174025464.43685514 -174025466.29380918 -174025468.78324348
256 -174025458.10081694 -174025463.32864684 -174025464.66657498
257 -174025463.72759882 -174025465.88545614 -174025467.01290128
258 -174025456.34730154 -174025462.5230099 -174025463.49709243
259 -174025453.1373507 -174025460.83450812 -174025461.0940976
260 -174025486.25892892 -174025488.93957677 -174025485.71144778
261 -174025473.00964582 -174025473.72861397 -174025474.20842308
262 -174025472.80369598 -174025472.17657733 -174025473.19604865
263 -174025476.44436997 -174025474.93807253 -174025475.47108635
264 -174025464.86803657 -174025466.78236264 -174025468.16950652
265 -174025477.717037 -174025478.4435242 -174025477.8655786
266 -174025458.32425034 -174025463.72128218 -174025464.84110925
267 -174025471.089763 -174025471.43086508 -174025471.43451265
268 -174025465.5936066 -174025469.42488506 -174025469.50392982
269 -174025462.37544134 -174025466.5566847 -174025466.9244256
270 -174025469.56383064 -174025470.59354854 -174025472.51694158
271 -174025468.5048796 -174025469.364018 -174025470.14565325
272 -174025462.73112988 -174025468.20492628 -174025469.04314724
273 -174025476.17639002 -174025475.6746302 -174025475.91867018
274 -174025481.2256108 -174025481.38068178 -174025480.1049867
275 -174025457.35156387 -174025463.15538225 -174025463.33404866
276 -174025472.09986368 -174025472.0731302 -174025473.00854018
277 -174025471.9627976 -174025473.488319 -174025473.8108529
278 -174025473.89653412 -174025474.61348367 -174025474.91585764
279 -174025464.2012894 -174025468.2024654 -174025468.39306083
280 -174025470.14759597 -174025473.3484901 -174025472.69088992
281 -174025477.8556094 -174025477.8550595 -174025477.62611178
282 -174025461.61222568 -174025465.84737062 -174025465.60597926
283 -174025464.85650307 -174025469.33071098 -174025470.02860808
284 -174025488.4920149 -174025489.22365505 -174025487.6702809
285 -174025457.29650098 -174025462.29471743 -174025463.63528576
286 -174025470.55985838 -174025474.58516252 -174025473.49996215
287 -174025466.12894303 -174025467.67269814 -174025468.4992108
288 -174025467.15876746 -174025468.8836549 -174025470.50024232
289 -174025465.86231405 -174025467.33912635 -174025467.42142612
290 -174025460.06209925 -174025464.88957143 -174025466.26440153
291 -174025480.55224675 -174025481.5169501 -174025480.06658965
292 -174025471.95683527 -174025473.00168937 -174025473.59075847
293 -174025472.42692256 -174025473.4095588 -174025472.89665833
294 -174025466.54165873 -174025471.0186494 -174025470.6870054
295 -174025470.95038345 -174025472.25568283 -174025472.3842506
296 -174025461.2936058 -174025467.5630672 -174025467.65423363
297 -174025460.7155496 -174025466.5680567 -174025467.6924434
298 -174025462.6655453 -174025467.30912852 -174025468.18014196
299 -174025460.73265165 -174025463.79670516 -174025465.5114035
300 -174025466.61991313 -174025467.4066535 -174025468.24379924
301 -174025469.58610085 -174025472.42430022 -174025472.42444935
302 -174025467.196831 -174025471.1641581 -174025470.783647
303 -174025463.65680528 -174025466.40529588 -174025467.9379043
304 -174025462.77712843 -174025466.5592607 -174025465.9713967
305 -174025462.89431193 -174025465.93240297 -174025468.20227382
306 -174025482.65858564 -174025482.02030903 -174025480.46274424
307 -174025476.15603808 -174025478.98569906 -174025477.71346357
308 -174025463.58801728 -174025467.49762353 -174025468.41036505
309 -174025464.98626566 -174025468.93797305 -174025469.2912472
310 -174025462.94521406 -174025467.22290704 -174025467.82405755
311 -174025468.55358493 -174025471.49241477 -174025471.95984817
312 -174025482.20335308 -174025479.3159472 -174025479.59424293
313 -174025464.06947696 -174025469.37076163 -174025469.2727518
314 -174025462.29001445 -174025466.9356755 -174025468.53380758
315 -174025468.51528066 -174025471.37465963 -174025471.39983115
316 -174025465.89677057 -174025471.27802882 -174025470.7732731
317 -174025457.91155523 -174025463.91647518 -174025464.98650202
318 -174025463.69864765 -174025468.99485424 -174025468.95994654
319 -174025469.7798744 -174025472.58648545 -174025472.36931804
320 -174025473.5115947 -174025476.62847027 -174025476.0492964
321 -174025462.56435338 -174025466.3679862 -174025467.45869133
322 -174025466.02924535 -174025468.99725214 -174025468.17724824
323 -174025478.15402842 -174025481.34667706 -174025480.07841572
324 -174025471.82678887 -174025474.94536552 -174025474.43957114
325 -174025468.46737757 -174025470.69853213 -174025471.63485748
326 -174025465.27355725 -174025467.5291869 -174025468.02971467
327 -174025460.51205343 -174025464.35101146 -174025465.27092448
328 -174025473.5876094 -174025476.60151076 -174025475.6292073
329 -174025472.4596441 -174025475.25624338 -174025474.5212902
330 -174025472.11255217 -174025475.98587617 -174025474.73830745
331 -174025460.6873283 -174025465.27038273 -174025466.56128046
332 -174025463.09230134 -174025467.55871916 -174025468.5142313
333 -174025465.5282271 -174025464.78263623 -174025466.7238511
334 -174025466.77669746 -174025467.50337645 -174025468.29792067
335 -174025459.9834532 -174025464.54743773 -174025466.63991535
336 -174025481.6260985 -174025483.5709115 -174025482.43244347
337 -174025462.13828444 -174025467.75719944 -174025468.1825583
338 -174025471.27056268 -174025472.8104975 -174025472.5291958
339 -174025463.82642633 -174025467.6090019 -174025467.82426316
340 -174025464.08186117 -174025469.1612358 -174025468.89366955
341 -174025469.61738735 -174025474.40364116 -174025473.50273263
342 -174025472.03770587 -174025474.15089002 -174025473.73326227
343 -174025459.40222746 -174025462.9657167 -174025464.23740783
344 -174025460.28323585 -174025466.3372808 -174025465.9774911
345 -174025477.18931836 -174025476.49273318 -174025476.7859679
346 -174025470.55080232 -174025471.17246035 -174025471.95301193
347 -174025461.36330488 -174025464.3630198 -174025465.9096209
348 -174025479.25735557 -174025481.58986267 -174025479.68178356
349 -174025463.16024858 -174025466.71126425 -174025467.82262298
350 -174025465.9867293 -174025471.0321083 -174025470.163743
351 -174025467.10126457 -174025468.73655352 -174025469.6245517
352 -174025471.42528686 -174025474.85121298 -174025474.03087625
353 -174025462.15693235 -174025466.39607304 -174025467.1079534
354 -174025463.85881948 -174025468.03574833 -174025468.13493916
355 -174025474.31101763 -174025476.39777756 -174025476.07322067
356 -174025464.7496942 -174025465.57581598 -174025466.5248686
357 -174025478.4377286 -174025481.28146052 -174025479.80212745
358 -174025460.56440482 -174025466.24778572 -174025467.23380092
359 -174025461.59305793 -174025466.31946954 -174025467.7057525
360 -174025467.61147153 -174025469.4971867 -174025469.72357094
361 -174025460.65114287 -174025464.32413647 -174025465.21231717
362 -174025475.2282823 -174025479.51122275 -174025477.9765464
363 -174025465.3447433 -174025470.08899483 -174025469.6782968
364 -174025460.60415536 -174025466.72634602 -174025467.344975
365 -174025487.50208166 -174025487.06405547 -174025485.68017548
366 -174025458.26972067 -174025462.07526654 -174025464.09302303
367 -174025468.75165877 -174025472.84781766 -174025472.45175332
368 -174025460.2528893 -174025463.0066525 -174025464.14896193
369 -174025479.32729727 -174025478.89252493 -174025478.08210102
370 -174025467.84850627 -174025470.54128233 -174025470.54526356
371 -174025486.32177696 -174025488.76972145 -174025485.79484665
372 -174025465.7507013 -174025468.96294066 -174025469.27926394
373 -174025401.45280778 -174025399.62156236 -174025399.2517155
374 -174025464.56149969 -174025468.9909071 -174025468.8839695
375 -174025483.33654746 -174025484.5969364 -174025484.09487176
376 -174025471.84415016 -174025474.0582017 -174025473.7591129
377 -174025468.91451767 -174025471.7726452 -174025471.71896702
378 -174025458.19401413 -174025463.63571668 -174025463.88508233
379 -174025469.5775064 -174025474.5525241 -174025473.39669538
380 -174025461.05969557 -174025466.05679974 -174025466.84480146
381 -174025457.76603055 -174025465.74482903 -174025466.07823238
382 -174025463.03118002 -174025466.8520158 -174025467.35770425
383 -174025460.17051172 -174025463.4624232 -174025465.09082344
384 -174025459.61704233 -174025465.68585706 -174025466.18723768
385 -174025474.72669396 -174025474.60998976 -174025474.05341285
386 -174025459.05287638 -174025465.14157656 -174025465.3875972
387 -174025465.49872872 -174025470.25713176 -174025470.78979623
388 -174025465.02390465 -174025469.0739037 -174025469.40579325
389 -174025464.39931443 -174025471.21740425 -174025471.11088666
390 -174025473.45578927 -174025476.1498393 -174025474.90740493
391 -174025466.30222148 -174025470.96006784 -174025470.28440022
392 -174025457.95610014 -174025463.61999965 -174025465.4627701
393 -174025464.6897875 -174025466.9292851 -174025467.65414855
394 -174025476.41512904 -174025476.16029274 -174025475.78873515
395 -174025455.8655138 -174025461.37505275 -174025462.75934103
396 -174025477.72637057 -174025482.93653834 -174025480.95636994
397 -174025484.52286002 -174025485.8739054 -174025484.1260015
398 -174025464.63551334 -174025468.1950984 -174025468.43001884
399 -174025469.92261747 -174025471.6514226 -174025472.02553058
400 -174025462.84970984 -174025465.7771441 -174025466.141062
401 -174025457.92336172 -174025465.95197812 -174025465.68630773
402 -174025447.78351736 -174025457.744459 -174025458.2186546
403 -174025468.5005599 -174025472.1900654 -174025471.59002823
404 -174025471.4647155 -174025472.48102188 -174025473.13997516
405 -174025481.6026828 -174025479.03407985 -174025479.28086632
406 -174025470.90394634 -174025472.9432642 -174025473.02748218
407 -174025484.22721726 -174025484.6611528 -174025482.95409507
408 -174025459.75936577 -174025465.1815448 -174025465.90095726
409 -174025468.37826923 -174025469.15019712 -174025469.56007922
410 -174025454.93800953 -174025463.714355 -174025464.69566613
411 -174025465.5086936 -174025469.44741607 -174025469.21446016
412 -174025473.54789448 -174025475.86946428 -174025475.31363258
413 -174025482.89135066 -174025482.75853786 -174025481.358492
414 -174025441.04097393 -174025453.00919855 -174025457.473982
415 -174025469.47462448 -174025470.89583266 -174025471.4322607
416 -174025463.62139562 -174025465.84496218 -174025467.2292169
417 -174025468.5663353 -174025471.50360546 -174025471.07821593
418 -174025473.9010437 -174025477.5407115 -174025476.110771
419 -174025460.57584053 -174025468.38368493 -174025467.9768098
420 -174025478.77087978 -174025482.75827277 -174025481.20681503
421 -174025460.51037222 -174025462.9514914 -174025464.5307117
422 -174025459.50453556 -174025467.26278144 -174025467.5863581
423 -174025465.6209941 -174025468.91674358 -174025469.09391516
424 -174025462.26432982 -174025467.6059442 -174025467.8544444
425 -174025478.87907538 -174025482.22356138 -174025482.00442526
426 -174025457.60508177 -174025462.74252048 -174025464.29156533
427 -174025484.38900143 -174025485.18287903 -174025483.36075914
428 -174025458.79527858 -174025462.51402533 -174025464.02331865
429 -174025481.21759248 -174025482.2676654 -174025480.93774945
430 -174025460.96606576 -174025465.1956165 -174025466.8705676
431 -174025466.25735223 -174025469.1205261 -174025469.27126265
432 -174025462.50394535 -174025468.4234194 -174025468.81226665
433 -174025466.9842625 -174025469.8841697 -174025469.48806393
434 -174025464.5616536 -174025467.60891044 -174025468.11326805
435 -174025476.62457356 -174025478.74504942 -174025477.79924536
436 -174025462.26608735 -174025462.53311786 -174025464.09777337
437 -174025462.9509917 -174025467.2612138 -174025467.98571944
438 -174025463.40360692 -174025467.09328717 -174025468.27661896
439 -174025470.64915356 -174025473.20934382 -174025473.29245546
440 -174025455.56697455 -174025463.29097375 -174025462.97168806
441 -174025448.5199563 -174025457.91751978 -174025458.06760362
442 -174025473.77395344 -174025474.4465899 -174025474.21267927
443 -174025474.3392967 -174025476.63607946 -174025476.49262202
444 -174025464.81904852 -174025466.36370134 -174025467.6097962
445 -174025459.0392885 -174025465.03981578 -174025466.63905
446 -174025468.72958818 -174025471.9019045 -174025471.49656114
447 -174025466.69137663 -174025469.1749825 -174025470.01220167
448 -174025469.060562 -174025471.2417673 -174025471.11224347
449 -174025473.03731218 -174025474.51571113 -174025474.8898569
450 -174025468.21789205 -174025471.61519387 -174025471.71078828
451 -174025460.9289781 -174025467.2143057 -174025467.92548445
452 -174025463.8497693 -174025469.4653346 -174025469.73978338
453 -174025488.10045853 -174025489.40164337 -174025487.75591147
454 -174025486.68521246 -174025487.08015612 -174025486.23625043
455 -174025471.41069767 -174025474.6574731 -174025473.82765242
456 -174025464.34182292 -174025468.98557895 -174025468.92658234
