z_from_surf x_from_center y_from_center angle_frag1 angle_frag2 alpha beta gamma energy_surrogate
0.5 -14.1 -19.74 -180.0 -180.0 -180.0 -180.0 -180.0 -2319.0284571695247
2.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2346.287918198942
3.5 -7.05 -9.87 -90.0 90.0 90.0 -90.0 90.0 -1960.5447451793243
1.5 7.049999999999999 9.870000000000001 90.0 -90.0 -90.0 90.0 -90.0 -1945.2825987598483
2.0 -3.5250000000000004 4.934999999999999 135.0 -45.0 -135.0 -45.0 135.0 -2339.509028108064
4.0 10.575000000000001 -14.805 -45.0 135.0 45.0 135.0 -45.0 -2339.7144044727984
3.0 -10.575 14.804999999999996 45.0 45.0 135.0 -135.0 -135.0 -2339.829831124277
1.0 3.5250000000000004 -4.934999999999999 -135.0 -135.0 -45.0 45.0 45.0 -2333.1094345255724
1.25 -5.2875 17.272499999999997 -22.5 22.5 -67.5 -22.5 157.5 -2340.4116622384527
3.25 8.812499999999998 -2.467500000000001 157.5 -157.5 112.5 157.5 -22.5 -2346.197634753785
2.994391348066132 0.06953450305153484 -5.562123985742639 -13.784329555806927 8.576465072657404 7.249682453396216 10.43633762523866 32.77120547208331 -2346.3075727023206
3.439738956047877 -0.36003096235216764 -6.131938723025031 12.24218760961678 -14.6149676714653 -16.406054370816125 -6.354730867664636 -14.611186451507567 -2346.2945093690173
2.3843150453009825 10.32147029646556 -8.05530317634425 142.16218729575925 -146.7807483819971 137.03171783899955 152.45700811126736 -56.212630925916606 -2344.0691799681667
3.075090403300407 4.804416797563197 -4.439376330878485 17.50125068710118 -6.824112151444153 8.333468827438287 21.797159017836744 -6.147905678263695 -2346.2928091474078
3.946114414003433 1.8813443961606193 0.6143867371138829 -27.544835811715078 -11.799653803318654 -12.363741592543406 25.5833820717225 -1.2641404136587109 -2346.046400087221
3.637309838749745 3.94787406981504 -0.3835278847103935 5.573198933579762 -17.090024127997992 -5.60068840010633 -31.9827924930177 42.404036580207304 -2346.2889787104887
3.2988161464446977 0.45329947848757374 -2.1059686740317507 -5.858536248405836 -60.92751304369382 34.37554424351526 9.34533741396108 19.753024569683866 -2328.9093133044294
4.125894239330106 -0.41163174440774214 1.273534428818921 41.6118371705117 18.36231157361436 32.98522301161349 10.155661812186143 15.104900566788187 -2343.902247406165
3.3757818946503515 0.35615551837666304 0.2565988734017304 49.65018253441903 -22.02275379979655 -37.906853872794755 43.64060174001602 58.93945396179881 -2341.0139760378834
3.0816105910675873 4.776876887030662 6.987656581597402 1.6700516876583338 17.888386808915733 31.334902418014074 49.03646867459916 81.52490374222162 -2346.31523123267
3.2735654545328012 -3.0859574916703516 10.719409527023931 -10.045131651176865 22.795064538220988 -26.989509729295182 -8.348009014102258 102.35742411752159 -2346.2208580189235
1.6116480095124985 2.0850218400371454 6.819516367528178 62.148525031168184 5.790621925383836 -39.35263184264751 -26.692414300417855 143.55063495975415 -2325.77168220573
2.1856733194069795 -5.464163363669755 1.968824754265174 -13.884702138779115 -39.723020893601024 -123.89256448657578 -41.03632645225587 94.69048274186748 -2344.2776403220096
